soma_center_1,soma_center_2,soma_angle,soma_polar_angle,axon_bias_1,axon_bias_2,bias_angle,pc_ratio,center_bias_angle,labels_all
195,516,-2.65375621493015,-0.883349020694929-0.468715806899351i,0.257975495792848,-0.96615145995358,-74,0.679058208908026,76.9990000416408,SSp-m
243,412,-1.57848848277055,-0.00769208011933942-0.999970415514098i,-0.985525907044621,-0.169524884733414,11,0.662457309121259,79.7990759185198,SSp-m
260,433,-1.42504820008646,0.145232665002071-0.98939753032661i,-0.0832109818377481,0.996531952574325,-84,0.237133092450543,176.422404658078,SSp-m
244,443,-1.5707963267949,6.12323399573677e-17-1i,-0.956915937895812,0.290365093978216,-16,0.132991768765618,106.879814926736,SSp-m
255,418,-1.48231825431392,0.0883626778199697-0.996088368152386i,-0.334562164425022,-0.942373682853699,71,0.734763094111631,24.6153357283967,SSp-m
276,460,-1.19872856793678,0.363542485652706-0.93157761948506i,0.778220687364338,0.627990893053536,40,0.571939294611199,107.584137050896,SSp-m
257,458,-1.41725254425534,0.152941176470588-0.988235294117647i,-0.647731520734768,-0.761868674409589,51,0.614074222161698,49.1681965164857,SSp-m
281,473,-1.07858505995533,0.472575809363357-0.881290022866802i,0.822945671436873,0.568120076976086,36,0.74156927186761,96.4176085537122,SSp-m
285,459,-1.11197959808807,0.442887523222738-0.896577181158225i,0.810356662901214,0.585936923987223,37,0.538319773471148,99.5809448804359,SSp-m
224,451,-1.78713698816819,-0.214657030690331-0.976689489641007i,0.829170078358593,-0.558996405314744,-33,0.294647032265677,68.4089859714041,SSp-m
251,495,-1.42294696153614,0.147311303088781-0.989090177881817i,0.474804976419456,0.880091037545162,63,0.920012926339941,143.18220254365,SSp-m
220,503,-2.12245130932344,-0.524097425664335-0.851658316704544i,-0.99315469204357,-0.116806496702202,8,0.170015984426822,51.6846657515128,SSp-m
222,431,-1.76645878612695,-0.194416396581318-0.980919091842103i,0.387472777832774,0.921881145505511,68,1.23343194938239,168.413293750762,SSp-m
237,417,-1.62673789802846,-0.0559123979861758-0.998435678324566i,0.960971208092637,0.276648399989912,17,0.953807613137362,109.265488084867,SSp-m
250,420,-1.52165559237888,0.0491209591997935-0.998792837062467i,0.800785689163167,0.598950982995664,38,0.429866015710406,123.97924753871,SSp-m
242,424,-1.5877438566013,-0.0169467185432877-0.999856394053973i,-0.645087537445125,0.764108676192715,-49,0.650416845383638,138.856739025845,SSp-m
204,471,-2.08385423620394,-0.490843733940776-0.871247627744878i,-0.257669995741731,0.966232980856303,-74,1.46190776178004,135.672094412063,SSp-m
229,438,-1.71403927560658,-0.142753595036809-0.989758258921878i,-0.509169288054336,0.860666390712592,-58,0.385933247532248,141.184271321911,SSp-m
223,435,-1.76459477985723,-0.192587620551195-0.981279780903708i,-0.872044813800996,-0.489426033965078,30,0.971868157592407,49.5933031302077,SSp-m
219,449,-1.83340540481194,-0.259601060869172-0.965715946433319i,0.883213367848569,-0.468971371038349,-27,0.317869777266973,77.0788451317026,SSp-m
253,446,-1.47731954563631,0.0933407086930583-0.995634226059288i,-0.936372536062764,-0.351007797217365,22,0.824807034040178,74.8068561604456,SSp-m
230,447,-1.71711161479993,-0.145793789599497-0.989315000853731i,-0.266835981540646,0.96374195662285,-74,0.427747456558965,156.14067580921,SSp-m
222,453,-1.81312949344791,-0.239968270756075-0.970780731695031i,-0.394360222557313,0.918955937390116,-66,0.35641938464771,142.889253558612,SSp-m
195,498,-2.40990621949558,-0.744048711529002-0.66812537361788i,-0.842811121258483,-0.538209451684953,34,0.249065799622166,9.36071314657155,SSp-m
284,511,-0.659310068332858,0.790415052175244-0.612571665435814i,-0.012690944069461,0.999919466726509,-88,1.51798401190861,128.502841359389,SSp-m
200,514,-2.57486343606629,-0.843661487732107-0.536875492193159i,-0.563791884168882,-0.825916891306445,57,0.440596395976208,23.2103681248191,SSp-m
282,469,-1.09084581447543,0.461735279654673-0.887017774073451i,0.0734581522448834,-0.997298300343868,-85,0.726685727928451,23.2865021932775,SSp-m
220,480,-1.94012998446852,-0.360994102557712-0.93256809827409i,0.789930126119601,0.613196865491557,39,0.183036357795302,148.982277665314,SSp-m
185,535,-3.0235006251707,-0.993035236117013-0.11781773987829i,-0.443364698465154,0.896341310079427,-63,1.94717976905952,70.4474147949688,SSp-m
243,519,-1.61424722218643,-0.0434372242763069-0.99905615835506i,0.221649410158551,0.975126422048119,78,0.162663062982155,169.683623645069,SSp-m
217,468,-1.92065192865199,-0.342762160205844-0.939422216860461i,0.916351912028558,0.400373792001431,25,1.24956884979833,133.646797524228,SSp-m
173,510,-2.71815324743007,-0.91168108856921-0.410898518791757i,-0.994549228020209,0.104268082577583,-5,1.78580264091707,30.2462901676384,SSp-m
160,555,2.98804887105024,-0.988235294117647+0.152941176470588i,-0.451942336480453,0.892047153740534,-62,0.23054512638869,54.3342185957765,SSp-n
140,596,2.66267905504221,-0.88749607680174+0.460815270647057i,0.966934733650834,0.255023961344011,16,0.590580528954108,137.78526707456,SSp-n
209,580,2.31512171160189,-0.67747575475179+0.735545105159087i,0.0394033760123211,-0.999223385414309,-87,0.192426066682687,139.611528632363,SSp-n
186,583,2.5262531117844,-0.816577498283946+0.577235817752444i,-0.997409371031574,0.0719343212826821,-3,0.878492595225246,31.1312628881447,SSp-n
164,602,2.49809154479651,-0.8+0.6i,0.995432130012336,0.0954718520774815,6,1.49346248540557,137.651623965809,SSp-n
190,545,3.08609414834408,-0.998460353205412+0.0554700196225231i,0.541129960364637,-0.840938978758725,-56,0.630099325910393,125.940423437121,SSp-n
212,525,-2.65325870253339,-0.883115719457411-0.469155225961749i,0.983355554659957,-0.181691642954234,-9,1.57936402344401,141.552216862815,SSp-n
147,536,-3.07981569202944,-0.998092410301963-0.0617376748640391i,-0.3214952816268,-0.946911180571707,72,0.0935820028709251,67.7070635265465,SSp-n
247,573,1.47432255161231,0.0963241948601903+0.9953500135553i,-0.988973171111417,0.148094789988803,-8,0.740454255676227,87.0110071943996,SSp-n
201,597,2.23435205317243,-0.615921966397541+0.787807166322436i,-0.32599824856561,0.945370372886814,-70,0.172713897418111,18.9928780516194,SSp-n
249,593,1.47306941943618,0.0975714240313705+0.99522852511998i,-0.426271249079498,-0.904595391436528,66,0.515382501104767,160.368183440697,SSp-n
229,618,1.76566024648377,-0.19363303189666+0.981074028276412i,-0.985609617356652,0.16903751706078,-9,1.00590650781441,69.1032568327442,SSp-n
201,572,2.53242918792902,-0.820126954301183+0.572181596024081i,-0.830991036782198,0.556285804948901,-33,2.15024165531215,1.10317204369162,SSp-n
193,562,2.76786583362424,-0.930973198487063+0.365087528818456i,-0.975385444682326,0.220506767020566,-12,0.321806661278949,8.67416988110164,SSp-n
235,607,1.70838306326525,-0.137153058475343+0.990549866766363i,0.659193973777211,-0.75197294162477,-48,0.263704535521454,146.644709729244,SSp-n
208,564,2.59304325113927,-0.853281833651959+0.521450009453975i,0.808795736323932,0.588089667401349,37,0.909909554217586,112.548872308882,SSp-n
204,567,2.58299333824623,-0.847998304005088+0.52999894000318i,-0.7522868060604,-0.658835762104216,42,0.247525218192292,73.2165249329793,SSp-n
240,596,1.64473536445284,-0.0738716855153119+0.997267754456709i,0.0566557431489466,-0.998393773402179,-86,0.126979350814326,179.011479295419,SSp-n
240,594,1.64756821806467,-0.0766964988847371+0.997054485501582i,0.673113941893718,0.739538789535952,49,1.15239292738256,46.7065630302694,SSp-n
188,589,2.44335176474663,-0.765974253829985+0.642871248750166i,-0.624257878509131,-0.781218344074996,52,0.644334688817059,91.3785175975712,SSp-n
254,552,0.785398163397448,0.707106781186548+0.707106781186547i,0.880362853238347,0.474300797635885,29,1.04804939223468,16.6861652081736,SSp-n
259,580,1.19483537292359,0.367166534736048+0.930155221331323i,0.0556427413220275,0.998450742569793,88,0.562051698435623,18.3512342664,SSp-n
198,586,2.37841305551906,-0.722641857147699+0.691222645967364i,-0.992619579153188,-0.121269827581915,8,0.271751973082916,50.6923635741954,SSp-n
205,625,2.01005852662298,-0.425271823264023+0.90506567515164i,-0.993137385142597,-0.116953555876365,8,2.47251230780699,71.5484458715993,SSp-n
182,661,2.05110905950964,-0.462056545285723+0.88685046595163i,0.999758074328995,-0.0219952907227691,0,0.303130780654043,118.780231396284,SSp-bfd
203,718,1.79966900016279,-0.226879738845456+0.973922781385371i,-0.995659276785738,-0.0930731140045323,6,0.337011749874206,82.2269877307854,SSp-bfd
226,648,1.73900309865198,-0.167414699655973+0.98588656464073i,-0.8865391978023,0.462653488866186,-27,0.244799429510471,52.8039966064229,SSp-bfd
229,777,1.63453963932758,-0.0637001542253379+0.997969082863627i,0.6488062097241,-0.760953679420401,-49,1.24926744406134,143.200567221669,SSp-bfd
324,701,1.10463616026725,0.44945948128966+0.8933007190632i,0.455199618419645,-0.890389413341494,-62,0.732864455441973,126.213211117351,SSp-bfd
136,639,2.4098016169855,-0.743978819867429+0.668203199325376i,0.810683855911498,-0.585484146467234,-35,0.642446992587139,173.908662223161,SSp-bfd
189,606,2.28070794525842,-0.651766743287986+0.758419483098748i,0.999710817447552,-0.0240474838256963,0,0.736723855929058,132.052891725518,SSp-bfd
181,616,2.27607439714853,-0.648245586072409+0.761431323323147i,-0.999944516313407,-0.0105339591201917,2,0.724560340547191,50.194105747423,SSp-bfd
241,618,1.61024952789194,-0.0394429667135138+0.999221823409015i,0.959728405889824,-0.280929505264536,-15,0.264647174648145,108.576190222621,SSp-bfd
194,643,2.03047570265667,-0.44366078809172+0.896194791945274i,0.0410509687966826,0.999157053701195,89,0.149518821570896,28.6903965291533,SSp-bfd
